Model,Split,Metric,mean,lo,hi
XGB,Train_CV5_OOF,Accuracy,0.8091374045801526,0.7595419847328244,0.8569656488549617
XGB,Train_CV5_OOF,Precision,0.7822567439507031,0.711928813559322,0.8506824889326119
XGB,Train_CV5_OOF,Recall,0.7960126996193778,0.71717596390484,0.865546218487395
XGB,Train_CV5_OOF,F1,0.7883930934081367,0.7311075498575499,0.8425372759256157
XGB,Train_CV5_OOF,BalancedAcc,0.8078801659788718,0.7598066804149481,0.8562649388545711
XGB,Train_CV5_OOF,MCC,0.6147972854462271,0.5180993748030707,0.7091622646133716
XGB,Train_CV5_OOF,AUROC,0.8733420930122914,0.8263038737367708,0.9155608331791171
XGB,Train_CV5_OOF,AUPRC,0.8318694952721181,0.754111891865766,0.8958064165550295
XGB,Train_CV5_OOF,Brier,0.14693439152487753,0.11222546022221518,0.18045674723257957
